Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Existence,Description,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,HBSS_1 Spectral Count,HBSS_2 Spectral Count,HBSS_3 Spectral Count,HBSS_BafA1_1 Spectral Count,HBSS_BafA1_2 Spectral Count,HBSS_BafA1_3 Spectral Count,HBSS_1 Unique Spectral Count,HBSS_2 Unique Spectral Count,HBSS_3 Unique Spectral Count,HBSS_BafA1_1 Unique Spectral Count,HBSS_BafA1_2 Unique Spectral Count,HBSS_BafA1_3 Unique Spectral Count,HBSS_1 Total Spectral Count,HBSS_2 Total Spectral Count,HBSS_3 Total Spectral Count,HBSS_BafA1_1 Total Spectral Count,HBSS_BafA1_2 Total Spectral Count,HBSS_BafA1_3 Total Spectral Count,HBSS_1 Intensity,HBSS_2 Intensity,HBSS_3 Intensity,HBSS_BafA1_1 Intensity,HBSS_BafA1_2 Intensity,HBSS_BafA1_3 Intensity,HBSS_1 MaxLFQ Intensity,HBSS_2 MaxLFQ Intensity,HBSS_3 MaxLFQ Intensity,HBSS_BafA1_1 MaxLFQ Intensity,HBSS_BafA1_2 MaxLFQ Intensity,HBSS_BafA1_3 MaxLFQ Intensity,Indistinguishable Proteins
sp|A3KN83|SBNO1_HUMAN,A3KN83,SBNO1_HUMAN,SBNO1,1393,Homo sapiens OX=9606,1:Experimental evidence at protein level,Protein strawberry notch homolog 1,1,0.999,6,30,30,30,6,4,5,3,6,6,6,4,5,3,6,6,6,4,5,3,6,6,2.86E+07,3.39E+07,2.99E+07,2.95E+07,3.21E+07,4.30E+07,1.00E+07,1.04E+07,1.06E+07,9853130,1.11E+07,1.01E+07,
sp|A4D1E9|GTPBA_HUMAN,A4D1E9,GTPBA_HUMAN,GTPBP10,387,Homo sapiens OX=9606,1:Experimental evidence at protein level,GTP-binding protein 10,1,0.999,8,32,32,32,6,4,4,7,5,6,6,4,4,7,5,6,6,4,4,7,5,6,9.69E+07,1.09E+08,1.13E+08,1.13E+08,9.75E+07,9.58E+07,4.45E+07,4.42E+07,4.51E+07,4.47E+07,4.46E+07,4.37E+07,
sp|A5YKK6|CNOT1_HUMAN,A5YKK6,CNOT1_HUMAN,CNOT1,2376,Homo sapiens OX=9606,1:Experimental evidence at protein level,CCR4-NOT transcription complex subunit 1,1,0.999,23,96,96,96,15,18,16,15,15,17,15,18,16,15,15,17,15,18,16,15,15,17,5.46E+08,4.82E+08,4.77E+08,4.62E+08,4.59E+08,4.25E+08,4.99E+07,4.81E+07,4.90E+07,4.72E+07,4.82E+07,4.89E+07,
sp|A6NCE7|MP3B2_HUMAN,A6NCE7,MP3B2_HUMAN,MAP1LC3B2,125,Homo sapiens OX=9606,2:Experimental evidence at transcript level,Microtubule-associated proteins 1A/1B light chain 3 beta 2,0.7553,0.9843,1,3,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2.02E+07,1.76E+07,1.96E+07,3.35E+07,2.89E+07,3.40E+07,0,0,0,0,0,0,"sp|Q9GZQ8|MLP3B_HUMAN, sp|Q9H492|MLP3A_HUMAN"
sp|A6NDG6|PGP_HUMAN,A6NDG6,PGP_HUMAN,PGP,321,Homo sapiens OX=9606,1:Experimental evidence at protein level,Glycerol-3-phosphate phosphatase,1,0.999,2,10,10,10,2,2,2,1,2,1,2,2,2,1,2,1,2,2,2,1,2,1,7776344.5,7089801.5,6849830.5,6770740,5951696.5,0,0,0,0,0,0,0,
sp|A6NDU8|CE051_HUMAN,A6NDU8,CE051_HUMAN,C5orf51,294,Homo sapiens OX=9606,1:Experimental evidence at protein level,UPF0600 protein C5orf51,0.979,0.9989,1,4,4,4,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,3934596.5,2512284.8,3066734,3116122.2,0,0,0,0,0,0,
sp|A6NHG4|DDTL_HUMAN,A6NHG4,DDTL_HUMAN,DDTL,134,Homo sapiens OX=9606,2:Experimental evidence at transcript level,D-dopachrome decarboxylase-like protein,0.9801,0.999,1,4,0,4,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,4.50E+07,0,6.03E+07,4.56E+07,4.65E+07,5.80E+07,0,0,0,0,0,0,sp|P30046|DOPD_HUMAN
sp|A6NHL2|TBAL3_HUMAN,A6NHL2,TBAL3_HUMAN,TUBAL3,446,Homo sapiens OX=9606,1:Experimental evidence at protein level,Tubulin alpha chain-like 3,0.9962,0.999,4,3,3,65,1,1,1,0,0,0,1,1,1,0,0,0,7,18,10,7,6,17,7880819,1.39E+07,1.30E+07,6765144.5,7057107,1.23E+07,0,0,0,0,0,0,
sp|A6NHR9|SMHD1_HUMAN,A6NHR9,SMHD1_HUMAN,SMCHD1,2005,Homo sapiens OX=9606,1:Experimental evidence at protein level,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,1,0.999,15,45,45,45,6,7,11,7,6,8,6,7,11,7,6,8,6,7,11,7,6,8,1.11E+08,1.66E+08,2.03E+08,9.16E+07,1.70E+08,1.82E+08,4.02E+07,4.00E+07,3.93E+07,3.87E+07,3.83E+07,3.96E+07,
sp|A6NHX0|CAST2_HUMAN,A6NHX0,CAST2_HUMAN,CASTOR2,329,Homo sapiens OX=9606,1:Experimental evidence at protein level,Cytosolic arginine sensor for mTORC1 subunit 2,1,0.999,2,8,8,8,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2384683.8,0,2229244.8,2195193.2,2384178.5,2601272.2,0,0,0,0,0,0,
sp|A6NJ78|MET15_HUMAN,A6NJ78,MET15_HUMAN,METTL15,407,Homo sapiens OX=9606,1:Experimental evidence at protein level,12S rRNA N4-methylcytidine (m4C) methyltransferase,0.9736,0.9987,1,2,2,2,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1.40E+07,1.39E+07,1.25E+07,1.50E+07,1.21E+07,1.35E+07,0,0,0,0,0,0,
sp|A6NKD9|CC85C_HUMAN,A6NKD9,CC85C_HUMAN,CCDC85C,419,Homo sapiens OX=9606,1:Experimental evidence at protein level,Coiled-coil domain-containing protein 85C,0.9754,0.9988,1,2,2,2,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,4643855,0,5358599,0,0,0,0,0,0,0,
sp|A8CG34|P121C_HUMAN,A8CG34,P121C_HUMAN,POM121C,1229,Homo sapiens OX=9606,1:Experimental evidence at protein level,Nuclear envelope pore membrane protein POM 121C,1,0.999,4,19,0,19,3,3,3,3,4,3,0,0,0,0,0,0,3,3,3,3,4,3,3.07E+07,4.34E+07,4.21E+07,4.57E+07,6.71E+07,4.56E+07,2.16E+07,2.21E+07,2.14E+07,2.19E+07,2.36E+07,2.28E+07,sp|Q96HA1|P121A_HUMAN
sp|A8K0Z3|WASH1_HUMAN,A8K0Z3,WASH1_HUMAN,WASHC1,465,Homo sapiens OX=9606,1:Experimental evidence at protein level,WASH complex subunit 1,1,0.9988,2,3,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,4068950.8,4166315.8,4454182.5,5433162,5914715.5,5175430,0,0,0,4516952.5,4907405.5,0,"sp|A8MWX3|WASH4_HUMAN, sp|C4AMC7|WASH3_HUMAN, sp|Q6VEQ5|WASH2_HUMAN, sp|Q9NQA3|WASH6_HUMAN"
sp|A8MTT3|CEBOS_HUMAN,A8MTT3,CEBOS_HUMAN,CEBPZOS,80,Homo sapiens OX=9606,1:Experimental evidence at protein level,Protein CEBPZ,0.6472,0.9738,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.73E+07,3.97E+07,3.55E+07,3.66E+07,4.16E+07,3.58E+07,0,0,0,0,0,0,
sp|A8MVJ9|HPF1L_HUMAN,A8MVJ9,HPF1L_HUMAN,,347,Homo sapiens OX=9606,5:Protein uncertain,Putative histone PARylation factor 1-like,0.9239,0.996,1,3,0,3,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1525754.5,0,1613805.9,0,0,1498943.4,0,0,0,0,0,0,sp|Q9NWY4|HPF1_HUMAN
sp|A8MWD9|RUXGL_HUMAN,A8MWD9,RUXGL_HUMAN,SNRPGP15,76,Homo sapiens OX=9606,5:Protein uncertain,Putative small nuclear ribonucleoprotein G-like protein 15,1,0.999,3,28,0,28,6,5,6,3,4,4,0,0,0,0,0,0,6,5,6,3,4,4,6.67E+08,6.49E+08,6.41E+08,6.69E+08,5.75E+08,6.52E+08,6.74E+08,6.02E+08,6.17E+08,7.06E+08,5.43E+08,5.60E+08,sp|P62308|RUXG_HUMAN
sp|A8MXV4|NUD19_HUMAN,A8MXV4,NUD19_HUMAN,NUDT19,375,Homo sapiens OX=9606,1:Experimental evidence at protein level,Acyl-coenzyme A diphosphatase NUDT19,1,0.999,3,8,8,8,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,5.19E+07,5.29E+07,5.16E+07,5.27E+07,5.24E+07,5.72E+07,3.92E+07,3.62E+07,3.99E+07,3.87E+07,3.83E+07,4.00E+07,
sp|B0YJ81|HACD1_HUMAN,B0YJ81,HACD1_HUMAN,HACD1,288,Homo sapiens OX=9606,1:Experimental evidence at protein level,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1,0.9605,0.998,1,3,3,3,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
sp|B2RXH8|HNRC2_HUMAN,B2RXH8,HNRC2_HUMAN,HNRNPCL2,293,Homo sapiens OX=9606,1:Experimental evidence at protein level,Heterogeneous nuclear ribonucleoprotein C-like 2,0.9992,0.9942,12,5,0,67,1,1,1,0,1,1,0,0,0,0,0,0,11,8,10,11,13,14,0,0,0,0,0,0,0,0,0,0,0,0,tr|A0A0G2JNQ3|A0A0G2JNQ3_HUMAN
sp|B7ZAQ6|GPHRA_HUMAN,B7ZAQ6,GPHRA_HUMAN,GPR89A,455,Homo sapiens OX=9606,1:Experimental evidence at protein level,Golgi pH regulator A,1,0.999,2,6,0,6,0,1,0,2,2,1,0,0,0,0,0,0,0,1,0,2,2,1,2.09E+07,2.42E+07,1.56E+07,2.83E+07,2.37E+07,2.37E+07,0,1.37E+07,0,1.57E+07,1.35E+07,1.34E+07,sp|P0CG08|GPHRB_HUMAN
sp|C9JLW8|MCRI1_HUMAN,C9JLW8,MCRI1_HUMAN,MCRIP1,97,Homo sapiens OX=9606,1:Experimental evidence at protein level,Mapk-regulated corepressor-interacting protein 1,0.8818,0.9934,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2.33E+07,0,0,0,0,0,0,0,
sp|E9PAV3|NACAM_HUMAN,E9PAV3,NACAM_HUMAN,NACA,2078,Homo sapiens OX=9606,1:Experimental evidence at protein level,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",1,0.999,5,36,21,36,6,6,6,6,6,6,4,4,3,3,4,3,6,6,6,6,6,6,1.28E+09,1.34E+09,1.34E+09,1.28E+09,1.31E+09,1.35E+09,6.84E+08,6.52E+08,6.92E+08,6.47E+08,6.72E+08,6.61E+08,
sp|E9PRG8|CK098_HUMAN,E9PRG8,CK098_HUMAN,C11orf98,123,Homo sapiens OX=9606,4:Protein predicted,Uncharacterized protein C11orf98,1,0.999,3,15,15,15,3,4,2,2,2,2,3,4,2,2,2,2,3,4,2,2,2,2,2.25E+08,1.03E+08,1.83E+08,1.14E+08,1.13E+08,1.89E+08,7.70E+07,6.77E+07,8.13E+07,7.98E+07,7.77E+07,8.80E+07,
sp|O00116|ADAS_HUMAN,O00116,ADAS_HUMAN,AGPS,658,Homo sapiens OX=9606,1:Experimental evidence at protein level,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",1,0.999,18,86,86,86,12,13,18,12,14,17,12,13,18,12,14,17,12,13,18,12,14,17,6.47E+08,6.19E+08,6.41E+08,5.97E+08,6.01E+08,6.18E+08,7.60E+07,7.44E+07,7.65E+07,7.21E+07,7.77E+07,7.42E+07,
sp|O00139|KIF2A_HUMAN,O00139,KIF2A_HUMAN,KIF2A,706,Homo sapiens OX=9606,1:Experimental evidence at protein level,Kinesin-like protein KIF2A,1,0.999,5,21,17,21,4,3,2,4,4,4,3,3,2,3,3,3,4,3,2,4,4,4,1.58E+08,1.48E+08,1.51E+08,1.54E+08,1.69E+08,1.52E+08,6.29E+07,6.05E+07,6.09E+07,6.16E+07,6.53E+07,6.10E+07,
sp|O00148|DX39A_HUMAN,O00148,DX39A_HUMAN,DDX39A,427,Homo sapiens OX=9606,1:Experimental evidence at protein level,ATP-dependent RNA helicase DDX39A,1,0.999,18,40,40,101,7,7,8,5,6,7,7,7,8,5,6,7,17,17,18,16,16,17,7.47E+08,7.80E+08,7.63E+08,7.41E+08,7.10E+08,7.38E+08,2.96E+08,3.02E+08,3.03E+08,2.88E+08,2.84E+08,2.92E+08,
sp|O00151|PDLI1_HUMAN,O00151,PDLI1_HUMAN,PDLIM1,329,Homo sapiens OX=9606,1:Experimental evidence at protein level,PDZ and LIM domain protein 1,1,0.999,16,98,98,98,15,17,18,16,17,15,15,17,18,16,17,15,15,17,18,16,17,15,1.49E+09,1.52E+09,1.53E+09,1.54E+09,1.57E+09,1.59E+09,3.95E+08,3.86E+08,3.95E+08,4.08E+08,4.06E+08,4.12E+08,
sp|O00154|BACH_HUMAN,O00154,BACH_HUMAN,ACOT7,380,Homo sapiens OX=9606,1:Experimental evidence at protein level,Cytosolic acyl coenzyme A thioester hydrolase,1,0.999,6,23,22,23,4,3,5,4,4,3,4,3,4,4,4,3,4,3,5,4,4,3,1.44E+08,1.29E+08,1.25E+08,1.50E+08,1.32E+08,1.32E+08,6.86E+07,6.95E+07,6.76E+07,7.26E+07,7.13E+07,6.95E+07,
sp|O00159|MYO1C_HUMAN,O00159,MYO1C_HUMAN,MYO1C,1063,Homo sapiens OX=9606,1:Experimental evidence at protein level,Unconventional myosin-Ic,1,0.999,38,200,200,200,33,33,36,31,34,33,33,33,36,31,34,33,33,33,36,31,34,33,3.30E+09,3.21E+09,3.31E+09,3.37E+09,3.27E+09,3.33E+09,1.49E+09,1.47E+09,1.49E+09,1.37E+09,1.34E+09,1.39E+09,
sp|O00161|SNP23_HUMAN,O00161,SNP23_HUMAN,SNAP23,211,Homo sapiens OX=9606,1:Experimental evidence at protein level,Synaptosomal-associated protein 23,1,0.999,3,8,8,8,1,1,2,3,0,1,1,1,2,3,0,1,1,1,2,3,0,1,4.80E+07,3.09E+07,4.73E+07,4.97E+07,3.41E+07,3.11E+07,3.34E+07,0,3.25E+07,3.27E+07,0,0,
sp|O00165|HAX1_HUMAN,O00165,HAX1_HUMAN,HAX1,279,Homo sapiens OX=9606,1:Experimental evidence at protein level,HCLS1-associated protein X-1,0.8128,0.9888,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,598021.75,457787.75,452887.72,404427.66,383532.5,366442.8,0,0,0,0,0,0,
sp|O00170|AIP_HUMAN,O00170,AIP_HUMAN,AIP,330,Homo sapiens OX=9606,1:Experimental evidence at protein level,AH receptor-interacting protein,1,0.999,4,19,19,19,4,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,8.07E+07,7.91E+07,8.15E+07,8.52E+07,8.39E+07,8.26E+07,3.48E+07,3.55E+07,3.53E+07,3.74E+07,3.65E+07,3.54E+07,
sp|O00186|STXB3_HUMAN,O00186,STXB3_HUMAN,STXBP3,592,Homo sapiens OX=9606,1:Experimental evidence at protein level,Syntaxin-binding protein 3,1,0.999,5,11,11,11,3,1,1,2,1,3,3,1,1,2,1,3,3,1,1,2,1,3,6.78E+07,7.33E+07,6.42E+07,8.72E+07,6.32E+07,7.09E+07,2.73E+07,2.90E+07,2.81E+07,2.71E+07,2.66E+07,2.85E+07,
sp|O00194|RB27B_HUMAN,O00194,RB27B_HUMAN,RAB27B,218,Homo sapiens OX=9606,1:Experimental evidence at protein level,Ras-related protein Rab-27B,1,0.999,4,13,8,13,3,2,2,1,2,3,2,1,1,1,1,2,3,2,2,1,2,3,7.56E+07,4.46E+07,4.12E+07,2.61E+07,4.32E+07,7.40E+07,2.49E+07,2.56E+07,2.37E+07,2.35E+07,2.48E+07,2.49E+07,
sp|O00203|AP3B1_HUMAN,O00203,AP3B1_HUMAN,AP3B1,1094,Homo sapiens OX=9606,1:Experimental evidence at protein level,AP-3 complex subunit beta-1,1,0.999,11,30,26,30,5,6,6,2,5,6,4,6,6,1,4,5,5,6,6,2,5,6,2.18E+08,2.23E+08,2.08E+08,1.99E+08,1.82E+08,2.14E+08,5.50E+07,5.41E+07,5.51E+07,5.15E+07,5.02E+07,5.39E+07,
sp|O00217|NDUS8_HUMAN,O00217,NDUS8_HUMAN,NDUFS8,210,Homo sapiens OX=9606,1:Experimental evidence at protein level,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",1,0.999,4,20,20,20,4,3,4,3,3,3,4,3,4,3,3,3,4,3,4,3,3,3,9.58E+07,1.76E+08,1.72E+08,8.77E+07,1.75E+08,1.70E+08,7.42E+07,7.30E+07,7.06E+07,6.86E+07,6.72E+07,6.98E+07,
sp|O00220|TR10A_HUMAN,O00220,TR10A_HUMAN,TNFRSF10A,468,Homo sapiens OX=9606,1:Experimental evidence at protein level,Tumor necrosis factor receptor superfamily member 10A,1,0.999,2,7,7,7,2,0,2,0,1,2,2,0,2,0,1,2,2,0,2,0,1,2,7.64E+07,7.60E+07,7.27E+07,6.45E+07,7.40E+07,7.52E+07,5.89E+07,5.55E+07,5.66E+07,5.75E+07,5.71E+07,5.81E+07,
sp|O00231|PSD11_HUMAN,O00231,PSD11_HUMAN,PSMD11,422,Homo sapiens OX=9606,1:Experimental evidence at protein level,26S proteasome non-ATPase regulatory subunit 11,1,0.999,19,104,104,104,15,16,16,17,22,18,15,16,16,17,22,18,15,16,16,17,22,18,2.17E+09,2.09E+09,2.12E+09,2.22E+09,2.24E+09,2.18E+09,3.68E+08,3.61E+08,3.67E+08,3.73E+08,3.85E+08,3.81E+08,
sp|O00232|PSD12_HUMAN,O00232,PSD12_HUMAN,PSMD12,456,Homo sapiens OX=9606,1:Experimental evidence at protein level,26S proteasome non-ATPase regulatory subunit 12,1,0.999,16,90,90,90,17,15,12,16,14,16,17,15,12,16,14,16,17,15,12,16,14,16,1.06E+09,1.06E+09,1.05E+09,1.03E+09,1.03E+09,1.06E+09,1.69E+08,1.68E+08,1.67E+08,1.64E+08,1.65E+08,1.68E+08,
sp|O00233|PSMD9_HUMAN,O00233,PSMD9_HUMAN,PSMD9,223,Homo sapiens OX=9606,1:Experimental evidence at protein level,26S proteasome non-ATPase regulatory subunit 9,1,0.999,9,49,49,49,7,10,9,7,8,8,7,10,9,7,8,8,7,10,9,7,8,8,3.34E+08,3.54E+08,3.76E+08,3.57E+08,3.88E+08,3.68E+08,8.58E+07,7.88E+07,8.66E+07,8.74E+07,9.00E+07,8.50E+07,
sp|O00244|ATOX1_HUMAN,O00244,ATOX1_HUMAN,ATOX1,68,Homo sapiens OX=9606,1:Experimental evidence at protein level,Copper transport protein ATOX1,0.969,0.9984,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.27E+07,3.60E+07,3.79E+07,4.42E+07,4.80E+07,4.27E+07,0,0,0,0,0,0,
sp|O00255|MEN1_HUMAN,O00255,MEN1_HUMAN,MEN1,615,Homo sapiens OX=9606,1:Experimental evidence at protein level,Menin,0.9801,0.999,1,2,2,2,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1.83E+07,1.77E+07,1.87E+07,1.98E+07,1.78E+07,0,0,0,0,0,0,0,
sp|O00264|PGRC1_HUMAN,O00264,PGRC1_HUMAN,PGRMC1,195,Homo sapiens OX=9606,1:Experimental evidence at protein level,Membrane-associated progesterone receptor component 1,1,0.999,10,47,41,47,6,6,8,7,10,10,5,5,7,6,9,9,6,6,8,7,10,10,8.22E+08,9.63E+08,9.33E+08,8.97E+08,9.80E+08,8.80E+08,3.00E+08,3.12E+08,3.07E+08,3.00E+08,2.97E+08,3.13E+08,
sp|O00267|SPT5H_HUMAN,O00267,SPT5H_HUMAN,SUPT5H,1087,Homo sapiens OX=9606,1:Experimental evidence at protein level,Transcription elongation factor SPT5,1,0.999,19,95,95,95,18,14,16,15,18,14,18,14,16,15,18,14,18,14,16,15,18,14,5.42E+08,4.92E+08,5.12E+08,5.18E+08,5.13E+08,4.20E+08,6.06E+07,5.95E+07,5.74E+07,5.94E+07,5.78E+07,5.83E+07,
sp|O00268|TAF4_HUMAN,O00268,TAF4_HUMAN,TAF4,1085,Homo sapiens OX=9606,1:Experimental evidence at protein level,Transcription initiation factor TFIID subunit 4,0.9742,0.9987,1,4,4,4,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,5256277.5,5122442.5,5289972,5718257.5,5457354,5986450.5,0,0,0,0,0,0,
sp|O00273|DFFA_HUMAN,O00273,DFFA_HUMAN,DFFA,331,Homo sapiens OX=9606,1:Experimental evidence at protein level,DNA fragmentation factor subunit alpha,1,0.999,1,9,9,9,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1.07E+07,1.08E+07,1.15E+07,1.07E+07,1.09E+07,1.04E+07,0,0,0,0,0,0,
sp|O00291|HIP1_HUMAN,O00291,HIP1_HUMAN,HIP1,1037,Homo sapiens OX=9606,1:Experimental evidence at protein level,Huntingtin-interacting protein 1,1,0.9989,4,9,9,9,2,1,4,1,1,0,2,1,4,1,1,0,2,1,4,1,1,0,1.07E+08,4.32E+07,9.25E+07,8.96E+07,9.72E+07,2.94E+07,4.38E+07,3.88E+07,4.22E+07,4.06E+07,4.82E+07,0,
